TODROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
0,1,8081,20.0,5.0,47,50,122,2017,1581
1,2,8044,20.0,2.0,46,50,118,2017,1581
2,3,8168,20.0,5.0,43,50,118,2017,1581
3,4,8027,20.0,2.0,43,50,115,2017,1581
4,5,8170,20.0,2.0,45,48,115,2017,1581
5,6,8072,20.0,2.0,48,45,115,2017,1581
6,7,8025,20.0,0.0,43,50,113,2017,1581
7,8,8035,20.0,0.0,47,46,113,2017,1581
8,9,8175,20.0,0.0,46,46,112,2017,1581
9,10,8017,20.0,2.0,49,41,112,2017,1581
10,11,8076,20.0,0.0,43,48,111,2017,1581
11,12,8212,20.0,3.0,41,46,110,2017,1581
12,13,8164,20.0,0.0,46,44,110,2017,1581
13,14,8019,20.0,0.0,47,43,110,2017,1581
14,15,8082,20.0,0.0,43,46,109,2017,1581
15,16,8048,20.0,2.0,41,46,109,2017,1581
16,17,8140,20.0,2.0,43,44,109,2017,1581
17,18,8008,20.0,0.0,47,42,109,2017,1581
18,19,8086,20.0,3.0,35,50,108,2017,1581
19,20,8101,20.0,0.0,42,46,108,2017,1581
20,21,8268,20.0,2.0,40,46,108,2017,1581
21,22,8010,20.0,0.0,44,44,108,2017,1581
22,22,8156,20.0,0.0,44,44,108,2017,1581
23,22,8211,20.0,0.0,44,44,108,2017,1581
24,25,8018,20.0,2.0,44,42,108,2017,1581
25,26,8095,20.0,2.0,41,43,106,2017,1581
26,27,8070,20.0,0.0,46,40,106,2017,1581
27,28,8148,20.0,0.0,47,39,106,2017,1581
28,29,8202,20.0,2.0,45,39,106,2017,1581
29,30,8052,20.0,0.0,39,46,105,2017,1581
30,30,8157,20.0,0.0,39,46,105,2017,1581
31,32,8167,20.0,3.0,38,44,105,2017,1581
32,33,8015,20.0,2.0,40,43,105,2017,1581
33,34,8034,20.0,0.0,43,42,105,2017,1581
34,35,8096,20.0,0.0,44,41,105,2017,1581
35,36,8271,20.0,0.0,46,39,105,2017,1581
36,37,8104,20.0,0.0,35,48,103,2017,1581
37,38,8180,20.0,,43,38,103,2017,1581
38,39,8064,20.0,,39,43,102,2017,1581
39,40,8147,19.0,0.0,41,42,102,2017,1581
40,41,8092,19.0,0.0,45,38,102,2017,1581
41,42,8047,20.0,0.0,44,38,102,2017,1581
