RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM
1,8030,20.0,5,50,50,125.0
2,8143,20.0,3,46,48,117.0
3,8279,20.0,5,48,44,117.0
4,8029,20.0,5,43,46,114.0
5,8107,19.0,2,48,43,112.0
6,8322,20.0,5,44,42,111.0
7,8157,20.0,4,46,41,111.0
8,8050,20.0,5,47,39,111.0
9,8105,20.0,4,42,44,110.0
10,8291,20.0,0,43,46,109.0
11.-12.,8106,20.0,0,44,44,108.0
11.-12.,8210,20.0,0,44,44,108.0
13,8005,20.0,0,45,43,108.0
14,8074,20.0,0,45,43,108.0
15,8256,20.0,2,44,42,108.0
16,8012,20.0,5,44,39,108.0
17,8046,20.0,0,44,43,107.0
18,8200,20.0,2,44,41,107.0
19,8076,20.0,2,45,39,106.0
20,8082,20.0,5,36,44,105.0
21,8201,20.0,0,44,41,105.0
22,8004,20.0,0,43,41,104.0
23,8147,20.0,0,44,40,104.0
24,8138,20.0,0,46,38,104.0
25,8008,20.0,0,47,36,103.0
26,8137,20.0,0,41,41,102.0
27,8152,20.0,0,36,45,101.0
28,8340,20.0,0,42,39,101.0
29,8032,20.0,0,42,39,101.0
30,8294,20.0,0,41,39,100.0
31,8121,20.0,0,42,38,100.0
32,8162,20.0,3,39,38,100.0
33,8006,20.0,0,39,40,99.0
34,8067,20.0,0,43,36,99.0
35,8161,20.0,0,45,34,99.0
36,8083,20.0,3,42,34,99.0
37,8270,20.0,0,35,43,98.0
38,8102,20.0,0,44,34,98.0
39,8096,19.0,0,35,43,97.0
40,8052,20.0,0,38,39,97.0
41,8003,20.0,5,35,37,97.0
42,8049,19.0,0,42,36,97.0
43,8273,20.0,0,41,36,97.0
44,8268,20.0,0,39,37,96.0
45,8056,20.0,0,41,35,96.0
46,8150,20.0,3,41,32,96.0
47,8086,20.0,0,45,31,96.0
48,8001,20.0,0,37,38,95.0
49,8190,20.0,0,40,35,95.0
50,8060,20.0,0,44,31,95.0
51,8119,20.0,0,38,36,94.0
52,8044,19.0,0,41,34,94.0
53,8098,20.0,0,41,33,94.0
54,8328,18.0,0,32,43,93.0
55,8131,19.0,0,35,39,93.0
56,8189,20.0,2,32,39,93.0
57,8220,20.0,0,35,38,93.0
58,8195,20.0,0,39,34,93.0
59,8026,20.0,2,37,34,93.0
60,8127,20.0,0,41,32,93.0
61,8207,20.0,2,39,32,93.0
62,8211,20.0,0,48,25,93.0
63,8318,20.0,0,36,36,92.0
64,8031,20.0,0,37,35,92.0
65,8014,20.0,3,34,35,92.0
66,8325,20.0,0,38,34,92.0
67,8109,20.0,0,41,31,92.0
68,8233,20.0,2,39,31,92.0
69.-71.,8023,20.0,0,36,35,91.0
69.-71.,8261,20.0,0,36,35,91.0
69.-71.,8314,20.0,0,36,35,91.0
72,8007,20.0,0,37,34,91.0
