ID,RANK,GRADES,MATH,CZECH,VR,SUM
820001,73,"11,4",34,44,35,"124,4"
820002,183,"12,0",34,32,32,"110,0"
820003,6,"12,0",39,50,41,"142,0"
820004,53,"6,0",34,48,41,"129,0"
820005,16,"10,0",35,50,42,"137,0"
820006,15,"10,6",39,48,40,"137,6"
820007,12,"11,2",36,50,41,"138,2"
820009,137,"12,0",35,35,34,"116,0"
820010,250,"8,6",32,25,31,"96,6"
820011,222,"12,0",35,30,26,"103,0"
820012,97,"12,0",39,41,30,"122,0"
820013,185,"12,0",41,32,25,"110,0"
820014,36,"12,0",42,42,37,"133,0"
820015,2,"12,0",46,49,38,"145,0"
820016,124,"12,0",33,39,34,"118,0"
820017,337,"12,0",13,26,25,"76,0"
820018,427,"3,6",4,11,,"18,6"
820019,174,"12,0",31,37,31,"111,0"
820020,306,"12,0",16,25,30,"83,0"
820021,87,"12,0",32,43,36,"123,0"
820022,37,"12,0",45,43,33,"133,0"
820023,74,"12,0",36,37,39,"124,0"
820024,54,"12,0",43,35,39,"129,0"
820025,296,"11,2",21,27,27,"86,2"
820026,19,"12,0",48,45,32,"137,0"
820027,232,"9,8",32,32,27,"100,8"
820028,80,"12,0",39,43,30,"124,0"
820029,345,"12,0",18,17,26,"73,0"
820030,55,"12,0",36,45,36,"129,0"
820031,85,"12,0",33,37,41,"123,0"
820032,245,"11,4",30,25,31,"97,4"
820033,125,"12,0",32,40,34,"118,0"
820034,239,"12,0",34,29,24,"99,0"
820035,422,"2,4",13,8,21,"44,4"
820036,395,"6,8",16,14,23,"59,8"
820037,317,"6,8",18,29,27,"80,8"
820038,229,"12,0",17,33,39,"101,0"
820039,371,"7,4",17,19,23,"66,4"
820040,380,"12,0",10,17,26,"65,0"
820041,94,"12,0",32,44,34,"122,0"
820042,108,"12,0",39,30,39,"120,0"
820043,192,"10,6",29,34,35,"108,6"
820044,285,"12,0",26,29,23,"90,0"
820045,72,"12,0",35,41,37,"125,0"
820046,112,"12,0",39,39,30,"120,0"
820047,23,"12,0",42,44,38,"136,0"
820048,43,"12,0",40,47,33,"132,0"
820049,135,"12,0",34,40,31,"117,0"
820050,315,"12,0",20,20,29,"81,0"
820051,233,"12,0",26,29,33,"100,0"
820052,113,"11,4",40,32,36,"119,4"
820054,153,"12,0",34,34,34,"114,0"
820055,38,"12,0",41,48,32,"133,0"
820056,339,"11,4",16,20,28,"75,4"
820057,336,"7,0",24,14,31,"76,0"
820058,268,"9,6",35,14,35,"93,6"
820059,147,"12,0",36,40,27,"115,0"
820060,386,"8,8",13,22,20,"63,8"
820061,312,"10,0",24,28,20,"82,0"
820062,102,"12,0",32,43,34,"121,0"
820063,404,"10,6",6,21,19,"56,6"
820064,75,"12,0",40,35,37,"124,0"
820065,98,"12,0",38,42,30,"122,0"
820066,177,"10,0",41,32,28,"111,0"
820067,83,"12,0",42,42,28,"124,0"
820068,50,"6,4",33,49,42,"130,4"
820070,258,"12,0",19,27,37,"95,0"
820071,189,"12,0",30,34,33,"109,0"
820072,335,"5,4",24,19,28,"76,4"
820073,11,"12,0",43,46,38,"139,0"
820074,26,"10,6",36,49,39,"134,6"
820075,58,"12,0",37,43,36,"128,0"
820076,180,"9,2",40,31,30,"110,2"
820077,96,"12,0",31,47,32,"122,0"
820078,41,"12,0",44,42,34,"132,0"
820079,100,"12,0",26,43,40,"121,0"
820080,40,"12,0",41,43,36,"132,0"
820081,160,"12,0",25,40,36,"113,0"
820082,369,"6,0",10,27,24,"67,0"
820083,186,"12,0",38,36,24,"110,0"
820084,414,"4,0",15,9,25,"53,0"
820085,388,"7,8",18,9,28,"62,8"
820086,78,"12,0",40,42,30,"124,0"
820087,123,"12,0",31,40,35,"118,0"
820088,195,"9,8",24,38,36,"107,8"
820089,412,"6,4",18,13,17,"54,4"
820090,301,"10,0",19,31,25,"85,0"
820091,194,"12,0",29,33,34,"108,0"
820092,169,"10,6",33,33,35,"111,6"
820093,140,"12,0",28,33,42,"115,0"
820094,378,"4,6",24,15,22,"65,6"
820095,56,"12,0",42,35,39,"128,0"
820096,331,"12,0",14,25,27,"78,0"
820097,14,"12,0",37,47,42,"138,0"
820098,313,"8,4",15,27,31,"81,4"
820099,325,"4,0",30,14,31,"79,0"
820100,105,"6,4",37,37,40,"120,4"
820101,8,"12,0",45,45,39,"141,0"
820102,163,"11,2",32,39,30,"112,2"
820103,413,"12,0",7,35,,"54,0"
820105,380,"12,0",10,17,26,"65,0"
820106,267,"9,8",31,25,28,"93,8"
820107,262,"12,0",20,32,31,"95,0"
820108,410,"10,0",6,9,30,"55,0"
820109,242,"12,0",31,31,24,"98,0"
820110,248,"12,0",29,35,21,"97,0"
820111,67,"12,0",34,39,41,"126,0"
820112,148,"12,0",36,41,26,"115,0"
820113,150,"11,4",41,38,24,"114,4"
820114,182,"12,0",23,40,35,"110,0"
820115,196,"10,6",33,30,34,"107,6"
820116,321,"11,4",24,24,21,"80,4"
820117,25,"9,8",41,45,39,"134,8"
820118,57,"12,0",43,36,37,"128,0"
820119,225,"12,0",22,34,34,"102,0"
820120,237,"12,0",29,26,32,"99,0"
820121,344,"9,2",7,28,29,"73,2"
820122,365,"6,2",17,25,20,"68,2"
820123,254,"6,4",32,31,26,"95,4"
820124,3,"12,0",43,49,40,"144,0"
820125,109,"12,0",35,38,35,"120,0"
820126,22,"12,0",42,41,41,"136,0"
820127,411,"6,4",10,14,24,"54,4"
820128,101,"12,0",32,41,36,"121,0"
820129,292,"11,2",23,27,27,"88,2"
820130,343,"4,6",23,19,27,"73,6"
820131,423,"4,8",8,6,23,"41,8"
820132,360,"12,0",16,18,24,"70,0"
820133,111,"12,0",29,46,33,"120,0"
820135,384,"9,2",13,13,29,"64,2"
820136,20,"11,2",41,43,41,"136,2"
820137,28,"12,0",38,47,37,"134,0"
820138,197,"4,0",28,36,39,"107,0"
820139,202,"10,6",38,32,26,"106,6"
820140,340,"10,4",17,22,25,"74,4"
820141,240,"10,6",27,30,31,"98,6"
820142,92,"12,0",36,37,37,"122,0"
820143,224,"7,6",29,33,33,"102,6"
820144,357,"9,4",8,24,30,"71,4"
820145,145,"12,0",36,35,32,"115,0"
820146,165,"12,0",37,28,35,"112,0"
820147,308,"11,4",18,23,30,"82,4"
820148,78,"12,0",40,42,30,"124,0"
820149,418,"12,0",,,37,"49,0"
820150,99,"10,6",37,41,33,"121,6"
820151,33,"11,4",46,41,35,"133,4"
820152,66,"11,4",38,44,33,"126,4"
820153,128,"12,0",38,37,31,"118,0"
820154,208,"12,0",27,39,28,"106,0"
820155,48,"12,0",43,43,33,"131,0"
820156,4,"12,0",44,49,39,"144,0"
820157,64,"12,0",43,40,32,"127,0"
820158,176,"12,0",31,39,29,"111,0"
820159,303,"8,6",16,30,29,"83,6"
