,,G)tmnizium,"a Hudebnl ikola hlavnllto mdstu prahy, ztikkulni umdlecki ikola",,,,,,,,,,,,,,,
,,Komenskilto,"nimdsti 400/9, 130 00 pruha 3",,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,
,,V;isledky pfijfmacfho ftzeni pro Skolnf rok 201812019,,,,,,,,,,,,,,,,
,,,,Poiadi uchazedipodle vfsledku celkov6ho hodnoceni,,,,,,,,,,,,,,
,,lludebni,,,,,,,,,,OSP-,osP -,OSP -,OSP -,osP -,OSP -,
Reg.,i.,obor,,zi;,i;,- uooy,"CJ-""4",Cj - kredity,M - body,"Il/I-""",M - Kredity,Ht,Ht,Ht,IIudba,Hudba,Hudba,Celkem
,,,,,,,,,,,,bodv,"""h",tr(redifv,hodv,o/^,lrredifw,
0031,8l,klavir,,48.00,,46.00,92,276.00,"38,00",76,"228,00","22,00",96,49.74,"9,81",99,"296,10",897.84
0s5l,8t,housle,,48.00,,"44,00",88,264.00,35.00,70,210.00,"18,00",78,40.70,8.s3,85,25s.90,"819,60"
001/,8/,zobcovd,fl6tna,48.00,,43.00,86,2s8.00,"39,00","7&,",234.00,18.00,78,40.70,"7,67",77,"230,10",810.80
J34l,8t,klavir,,48.00,,41.00,82,"246,00",41.00,82,246.00,"17,00",74,"38,43",7.6,76,"228""00",806.43
Jt4l,8l,hoboi,,"48""00",,43.00,86,258.00,"37,00",",74",222.00,22.00,96,49.74,75,75,"225,00",802.74
004/,8/2,violoncello,,48.00,,44.00,88,"264,00",42.00,.84,252.00,"19,00",83,"42,96","6,4",64,192.00,798.96
032/,8/2,zobcovh fl6tna,,"44,00",,"40,00",80,240.00,38.00,76 1,228.00,14.00,6l,31.65,8.33,83,249.90,"793""ss"
naa I,8t2,tal- .u.Lu1n-d^,,"+/ oo-tnrtn,",,46.40,YL,"2i6,40",35.00,/r.t-,"zru""vv",ZU.UV,6t,45.22,"6,27",OJ,166_tu,767.32
006t,8t1,housle,,"48,00",,"37""00",74,222.00,30.00,6CI,"80""00","22,00",96,49-74,8.87,89,"266,10",765.84
021/,8/1,trubka,,48.00,,38.00,76,228.00,32.00,64,92.00,21.00,9l,"47,48",8.21,82,246.30,161.78
062t,8/l,s6loW zpdv,,"46,00",,43.00,86,2s8.00,29.00,58,74.00,"13""00",57,29-39,8.13,8l,"243,90",75t.29
0641,8/2,housle,,42-00,,34.00,68,"204""00",32.00,64,92.00,19.00,83,"42,96",9,90,270.00,7s0.96
010/,8/l,klavir,,"48,00",,"35""00",70,210.00,35.00,70,"210,00",14.00,6l,3 1.65,8.2,82,"246,00",145.65
046/,8lr,fagot,,48.00,37.00,,74,222.00,29.00,58,174.00,"9,00",39,"20""35",9.33,93,279.90,744.25
039t,8/1,trubka,,"48,00",,44.00,88,264.00,"27,00",54,162.00,15.00,65,33.91,"7,73",77,23r.90,739.81
0491,8/l,housle,,"48,00",,"35,00",70,210.00,39.00,78,"234""00","18,00",78,40.70,6.47,65,194.10,"726""80"
030/,8/1,zobcovh fl6tna,,42.0Q,37.00,,74,222.00,"33,00",66,198.00,15.00,65,"33,91",7.57,76,227.10,723.01
0s2/,812,piidnd fl6tna,,"48,00","41,00",,82,246.00,31.00,62,"186,00","14""00",6l,3 1.65,6.73,67,"201,90","713,55"
06U,8/1,zpev,,48.00,39.00,,78,"234,00","31""00",62,r86.00,18.00,78,"40,70","6""79",68,203.70,712-40
032t,8/2,hobo.i,,"44,00","40,00",,80,240.00,38.00,76,"228,00","14""00",61,3 l.6s,<11,53,158.10,"701,75"
0291,8/2,zobcovh fl6tna,,48.00,37.00,,74,"222,00","28,00",56,168.00,11.00,48,"24,87",7.73,,231.90,694^77
015/,8/l,klarinet,,"48,00","30,00",,60,180.00,37.00,74,"222,00","14,00",61,31.65,6.s3,65,"195,90","677,55"
038/,8/2,s6loW zoEv,,48.00,37.00,,74,"222,00","20,00",40,120.00,9.00,39,"20,35","8,6",86,2s8.00,668.35

,,Gymndziunt,"a Hudebni ikokt hhvnlho mdstu prahy,",,,zciklacln[ umdteckd,ikotu,,,,,,,,,
053t,812,viola,36.00,34.00,68,"204,00","25,00",50,1s0.00,16.00,70,"36,17",2.53,25,75.90,502.07
045t,8il,kytara,"38,00","27""00",54,r62-00,32.00,64,"192,00","10,00",43,22-61,2.87,29,"86,10","500,71"

,,GJtmndziunt,,"a Hadebni ikoh ltluvniho mdsta prahy,",,,zikladnf umdleckti ikota,,,,,,,,,,,,
,,Komenskilto,,"ndmisti 400/9, 130 00 praha 3",,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,
03U,812,kvtara,,46.00,"22,00",44,t32.00,9.00,,t8,,"54,00",I1.00,48,24.87,8,80,240.00,496.87
007t,8/l,s6loW zp6v,,"44,00","17,00",34,102.00,"10,00",,20,,60.00,3.00,l3,"6,78",8.47,85,2s4.10,466.88
0541,8tr,housle,,36.00,"20,00",40,120.00,I1.00,,22,,"66,00","2,00",9,4.52,7.93,79,"237,90",464.42
008/,8t2,s6loW zpEv,,"48,00",25.00,50,150.00,"19,00",,38,,I14.00,15.00,65,"33,91",3.8,38,114.00,"459,91"
0091,8/r,s6loW zo6v,,48.00,"15,00",30,90.00,12.00,,24,,"72,00","8,00",35,18.09,75,75,"225,00",453.09
002/,812,s6loW zpdv,,48.00,34.00,68,204.00,"22,00",,44,,r32.00,6.00,26,"13,57",1.53,l5,45.90,"443,47"
026t,8t2,housle,,46.00,"24,00",48,44.00,22.00,,44,,132.00,"20,00",87,45-22,111,z5,"68""10",435.32
063t,8t,s6loW,zpEv,42.00,29.00,58,"74,00","28,00",,s6,,168.00,9.00,39,"'20,35",0.87,9,26.10,"430,45"
059/,8/,s6loW,zpdv,"42,00",17.00,34,02.00,17.00,,34,,"102""00","6,00",26,13.57,5),52,"156,00",4t5.57
0471,8l,s6loW,zpdv,48.00,23.00,46,"38,00","15""00",,30,,90.00,5.00,22,"11,30",4,40,120.00,"407,30"
068/,8t,s6loW,zo6v,"28,00","17,00",34,02.00,5.00,,10,,30.00,4.00,1l,9.04,"7,73",77,23t.90,400.94
04lt,8l,zpe\,,36.00,32.00,64,"92,00","I1,00",,22;:,,66.00,6.00,26,"3""57",2.27,L3,68.10,"375,67"
042t,812,saxofon,,48.00,"22,00",44,32.00,16.00,',jiI,,"96,00",7.00,30,5.83,r.93,t9,"57,90",349.73
0561,811,s6loW zp6v,,46.00,26.00,52,56.00,"8,00",,t6,,48.00,7.00,30,s.83,?5?,25,75.90,"34r""73"
0441,8tl,trubka,,40.00,"24,00",48,44.00,1s.00,.,",30",,"90,00",7.00,30,s.83,I.53,l5,"45""90",33s.73
0s8/,8/r,zobcov6 fl6tna,,"34,00",13.00,26,78.00,13.00,,"2,6",,78.00,7.00,30,5.83,"4,13",4l,123.90,329.73
018/,8tr,kytara,,32-00,13.00,26,"78,00",l0;0'0,",l",20,1,60.00,"8,00",35,8.09,4.67,47,140 rn,328.t9
048t,8il,soloqi zp6v,,"42,O0","21,00",42,126.00,".6,00",,IQ,,36.00,6.00,26,3.57,"3,27",JaJa,98.l0,3r5.67
065t,812,housle,,40.00,19.00,38,I14.00,l:.00,,26,,78.00,"6,00",26,3.57,0.s3,5,"15,90",26r.47
Y Praze 2. kvEtna 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,", lltuw",,,,,,
,,,,,,,,,,,,,Filip MaEhm,,,,,,
,,,,,,,,ieditel,,,,,"V
aHudebni Skoly hl. m. Prahy, ZUS",,,,,,
,,,,,,,,,,,,"(;YlllN,,iZiUi1 .\ f lUul'lirti gtii)l",,,A,,,,
,,,,,,,,,,,,itl A\i NlltO i\li:3 ir\ PliAt'tY,,,,,,,
,,,,,,,,,,,,Kontrnskiho uirnisfi9,,,,,,,
,,,,,,,,,,,,,"13t| 00 I'rah,r 3",,,,,,
